string,integer,boolean,float,email,dropdown,url,date,datetime,time
intermix,46415,true,0.33568391192537683,Myrtle.Herman66@hotmail.com,FIRST,https://staging-fuse-aws.flatirons.com/account/importers,05/01/2027,03/02/2027 01:25:36,20:36
acknowledge,10810,true,0.2951307509544434,Pam43@yahoo.com,THIRD,https://staging-fuse-aws.flatirons.com/account/importers,05/31/2027,04/12/2027 16:03:53,16:28
instead,89661,true,0.6971002557954639,Porter.Lemke@gmail.com,FIRST,https://staging-fuse-aws.flatirons.com/account/importers,06/11/2027,11/01/2026 04:12:10,21:22
helpless,83293,false,0.9997205054161663,Camylle.Stokes63@hotmail.com,SECOND,https://staging-fuse-aws.flatirons.com/account/importers,02/03/2027,02/22/2027 10:37:37,04:27
amid,72190,true,0.8544150534578641,Troy_Sawayn@hotmail.com,THIRD,https://staging-fuse-aws.flatirons.com/account/importers,05/03/2027,03/24/2027 10:12:42,17:34
to,22731,false,0.7715847201104439,Gage82@gmail.com,SECOND,https://staging-fuse-aws.flatirons.com/account/importers,07/16/2026,10/09/2026 15:52:35,16:16
unless,37487,false,0.6603824706942694,Francesco28@yahoo.com,SECOND,https://staging-fuse-aws.flatirons.com/account/importers,03/01/2027,12/15/2026 19:05:09,17:56
impressionable,4795,true,0.8252898775338349,Linda60@hotmail.com,THIRD,https://staging-fuse-aws.flatirons.com/account/importers,06/02/2027,05/21/2027 10:52:19,16:12
essay,49863,true,0.9043985345645456,Lucie.Cormier50@hotmail.com,FIRST,https://staging-fuse-aws.flatirons.com/account/importers,10/29/2026,12/10/2026 04:55:48,20:24
pfft,99207,false,0.5132653205674904,Micheal18@yahoo.com,SECOND,https://staging-fuse-aws.flatirons.com/account/importers,07/01/2026,04/29/2027 12:59:46,09:38
